Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-30 10:03:35.187000,9d,Toxicity,Original,,313.9102783203125,0.92001873254776,288.8033447265625,1.8828003406524658,1.6842772960662842,0.33074700832366943,11.153897285461426,15.867704391479492,17.196796417236328,0.12462131679058075,0.06651609390974045,1.5291309356689453,3.9707093238830566,27.01054573059082,0.025228243321180344,13.819914817810059,16.84921646118164,37,25,30,75,
2025-12-30 10:03:35.187000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:35.187000,FinePointe Series WBP [SN 10499C]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:37.188000,9d,Toxicity,Original,,387.24005126953125,0.9885817766189575,410.30108642578125,3.4457855224609375,1.9714490175247192,0.44043606519699097,11.153897285461426,23.75823211669922,40.06913375854492,0.09608189016580582,0.08028985559940338,3.4541776180267334,5.2885942459106445,15.080061912536621,0.038676321506500244,15.161629676818848,22.383464813232422,37,25,30,66.66666412353516,
2025-12-30 10:03:39.188000,9d,Toxicity,Original,,135.93490600585938,1.8592313528060913,252.73443603515625,0.45118552446365356,0.4427255690097809,0.7914994955062866,11.153897285461426,15.765244483947754,17.2764835357666,0.24176663160324097,0.19962109625339508,1.238610029220581,25.419063568115234,0,0.14574161171913147,27.065570831298828,3.2807674407958984,37,25,30,92.30769348144531,
2025-12-30 10:03:39.188000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:41.187000,9d,Toxicity,Original,,420.0682373046875,0.26552194356918335,100.14122009277344,1.4350014925003052,1.061592698097229,0.4127298593521118,11.153897285461426,7.2150068283081055,6.934151649475098,0.0671488419175148,0.07978063076734543,0.47858941555023193,2.618217706680298,14.2753267288208,0.04338809475302696,15.217609405517578,9.82039737701416,37,25,30,70,
2025-12-30 10:03:43.188000,9d,Toxicity,Original,,335.6847839355469,0.17102214694023132,56.71663284301758,0.33177804946899414,0.25753623247146606,0.8168367147445679,11.153897285461426,3.943321704864502,6.29923677444458,0.0877641960978508,0.09158539772033691,0.512377142906189,19.386409759521484,0,0.07436280697584152,17.328405380249023,6.185882091522217,37,25,30,84.61538696289062,
2025-12-30 10:03:43.188000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:45.187000,9d,Toxicity,Original,,405.1651611328125,0.2589876055717468,107.32246398925781,0.8060368895530701,0.5926526784896851,0.6801257729530334,11.153897285461426,5.547778129577637,6.9886603355407715,0.07525334507226944,0.07387576997280121,0.5495796799659729,3.229191780090332,0,0.04799589142203331,8.908670425415039,9.38219928741455,37,25,30,83.33333587646484,
2025-12-30 10:03:45.187000,FinePointe Series WBP [SN 10499C]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:47.187000,9d,Toxicity,Original,,304.3641662597656,0.2233920693397522,61.01955032348633,2.2947168350219727,1.2663830518722534,0.3805396556854248,11.153897285461426,4.5500288009643555,5.461654186248779,0.09480679035186768,0.1278875768184662,0.47013935446739197,12.895483016967773,51.396888732910156,0.05583999305963516,13.340620040893555,15.5606689453125,37,25,30,63.6363639831543,
2025-12-30 10:03:47.187000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:47.187000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,9d,Toxicity,Original,,182.56338500976562,0.17249900102615356,31.492002487182617,1.137359857559204,0.5597736835479736,0.9912639856338501,11.153897285461426,2.5658693313598633,5.359149932861328,0.13294324278831482,0.1957097351551056,0.0688527375459671,,,0.12916329503059387,,,37,25,30,95,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 10499C]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,Measuring Baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,Create measurement 'Baseline'. Duration: 00:08:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30 10:03:55.188000,FinePointe Series WBP [SN 10499C]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
