Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-17 10:55:35.800000,5b,Toxicity,Original,,256.8263244628906,0.10589708387851715,27.197158813476562,0.30305778980255127,0.6289038062095642,0.7245059013366699,11.153897285461426,1.7422515153884888,0.8667954802513123,0.12320084124803543,0.11042008548974991,0.03458266705274582,6.601387977600098,7.501576900482178,0.06897350400686264,15.95036506652832,10.683341026306152,37,25,30,97.22222137451172,
2025-12-17 10:55:35.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:35.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:39.800000,5b,Toxicity,Original,,144.03497314453125,0.1961059868335724,28.24612045288086,0.7237157225608826,1.0308526754379272,0.8837833404541016,11.153897285461426,3.4827351570129395,2.6073694229125977,0.0929567962884903,0.32360872626304626,0.1001548171043396,3.981201171875,0,0.15985211730003357,,,37,25,30,88.88888549804688,
2025-12-17 10:55:41.800000,5b,Toxicity,Original,,299.89031982421875,0.14417631924152374,43.23708724975586,0.48051413893699646,0.640923261642456,0.42273372411727905,11.153897285461426,2.4746813774108887,1.756788730621338,0.11018203943967819,0.08989109843969345,0.1444932520389557,5.997217178344727,0,0.05587693676352501,13.882603645324707,8.336322784423828,37,25,30,85.71428680419922,
2025-12-17 10:55:41.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:41.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:47.800000,5b,Toxicity,Original,,180.6938934326172,0.1263813078403473,22.83633041381836,0.1659732162952423,0.5331718325614929,0.6065206527709961,11.153897285461426,4.501319885253906,1.3966008424758911,0.08803851157426834,0.24401476979255676,0.1242300271987915,7.505893230438232,0,0.16028912365436554,9.254773139953613,1.7855695486068726,37,25,30,95.65217590332031,
2025-12-17 10:55:47.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:47.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:47.800000,Measuring Baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:55:47.800000,Create measurement 'Baseline'. Duration: 00:07:36.4395482,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,5b,Toxicity,Original,,287.5074157714844,0.10801870375871658,31.056177139282227,0.49064674973487854,0.5134954452514648,0.6904979348182678,11.153897285461426,1.6264853477478027,1.5525108575820923,0.11310707032680511,0.09558319300413132,0.12206952273845673,10.18514633178711,0,0.06508652865886688,17.86482810974121,8.825028419494629,37,25,30,97.82608795166016,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:03.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:49.800000,5b,Toxicity,Original,,301.90948486328125,0.12809930741786957,38.67439651489258,0.5019341111183167,0.614872395992279,0.672294020652771,11.153897285461426,1.8366203308105469,1.4917104244232178,0.1184130534529686,0.08032200485467911,0.10556129366159439,5.182976722717285,0,0.050834182649850845,13.184666633605957,11.024787902832031,37,25,30,99.21875,
2025-12-17 10:56:49.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:49.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:56:59.800000,5b,Toxicity,Original,,86.28958129882812,0.3635440468788147,31.37006378173828,0.34550538659095764,0.5315743684768677,0.6931328177452087,11.153897285461426,1.863452434539795,1.30763578414917,0.32599547505378723,0.3693375587463379,0.09567752480506897,37.03096389770508,0,0.24660858511924744,10.61255931854248,,37,25,30,97.43589782714844,
2025-12-17 10:57:01.800000,5b,Toxicity,Original,,303.7030334472656,0.12044826149940491,36.58050537109375,0.6100015044212341,0.7352576851844788,0.5714218616485596,11.153897285461426,2.333811044692993,1.9600434303283691,0.09606022387742996,0.10150118917226791,0.17164959013462067,4.637148380279541,0,0.0593760646879673,14.473278999328613,16.685514450073242,37,25,30,85.71428680419922,
2025-12-17 10:57:05.800000,5b,Toxicity,Original,,327.119140625,0.10408230870962143,34.04731750488281,0.7205855846405029,0.7149142622947693,0.5273198485374451,11.153897285461426,2.043210029602051,2.0546348094940186,0.0961858257651329,0.08723358064889908,0.18208736181259155,5.946598052978516,0,0.05185537040233612,18.464162826538086,18.423391342163086,37,25,30,90,
2025-12-17 10:57:05.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:57:05.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:57:05.800000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:57:05.800000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
