Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-17 10:59:17.518000,6b,Toxicity,Original,,167.9495391845703,0.15032091736793518,25.246328353881836,0.4493824541568756,0.9237868785858154,0.5112663507461548,11.153897285461426,2.3250982761383057,1.147462248802185,0.1108032688498497,0.246446892619133,0.08617187291383743,3.0382564067840576,108.72476196289062,0.12820428609848022,6.13146448135376,7.189059257507324,37,25,30,97.43589782714844,
2025-12-17 10:59:17.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:17.518000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:21.518000,6b,Toxicity,Original,,151.6607208251953,0.12932376563549042,19.61333465576172,0.8938549160957336,0.8426147103309631,0.5268582105636597,11.153897285461426,1.1656768321990967,1.265966534614563,0.22859205305576324,0.16702787578105927,0.10378134995698929,38.096553802490234,30.893423080444336,0.09145810455083847,6.197814464569092,,37,25,30,87.5,
2025-12-17 10:59:23.518000,6b,Toxicity,Original,,189.48712158203125,0.22612231969833374,42.84727096557617,1.9434927701950073,2.4991769790649414,0.11072887480258942,11.153897285461426,3.1609928607940674,2.2787668704986572,0.13602283596992493,0.18062135577201843,0.1532205194234848,5.443514347076416,102.59764862060547,0.05238278955221176,9.577686309814453,40.106197357177734,37,25,30,66.66666412353516,
2025-12-17 10:59:23.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:23.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:27.518000,6b,Toxicity,Original,,230.51776123046875,0.13645640015602112,31.727977752685547,1.7988295555114746,1.1484315395355225,0.3992077112197876,11.153897285461426,1.8064085245132446,2.915207862854004,0.14907436072826385,0.1138593852519989,0.24028384685516357,6.241362571716309,16.553861618041992,0.05495988577604294,9.449939727783203,19.468921661376953,37,25,30,83.33333587646484,
2025-12-17 10:59:27.518000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:33.518000,6b,Toxicity,Original,,150.43580627441406,0.18332554399967194,27.578725814819336,0.39694204926490784,0.3319703936576843,0.7908810973167419,11.153897285461426,1.675516128540039,2.0066933631896973,0.18389107286930084,0.21495012938976288,0.11021594703197479,3.078362464904785,0,0.1624685525894165,0.3132269084453583,,37,25,30,91.66666412353516,
2025-12-17 10:59:35.518000,6b,Toxicity,Original,,188.619384765625,0.11023402214050293,20.792274475097656,0.8576069474220276,1.3705731630325317,0.3129580616950989,11.153897285461426,1.5602658987045288,0.9667885899543762,0.13916321098804474,0.17893770337104797,0.052835315465927124,28.62250328063965,34.4854850769043,0.07687809318304062,11.961179733276367,17.661252975463867,37,25,30,66.66666412353516,
2025-12-17 10:59:35.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:35.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:35.518000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:45.518000,6b,Toxicity,Original,,103.79847717285156,1.3441652059555054,56.203914642333984,1.4533874988555908,1.977102518081665,0.24261882901191711,11.153897285461426,5.301049709320068,3.317587375640869,0.2717646658420563,0.7252811789512634,0.24453741312026978,34.959590911865234,59.818275451660156,0.259613573551178,5.081868648529053,33.41416931152344,37,25,30,87.5,
2025-12-17 10:59:45.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:45.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:45.518000,Measuring Baseline.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:45.518000,Create measurement 'Baseline'. Duration: 00:07:51.6497504,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:57.518000,6b,Toxicity,Original,,175.7703399658203,0.10338211804628372,18.171510696411133,0.29621848464012146,0.5950620174407959,0.6035327315330505,11.153897285461426,1.692515254020691,0.8249616622924805,0.15909430384635925,0.18226021528244019,0.05233604833483696,15.180335998535156,0,0.11797775328159332,15.537747383117676,9.077719688415527,37,25,30,95.23809814453125,
2025-12-17 10:59:57.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 10:59:57.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:03.518000,6b,Toxicity,Original,,29.41699981689453,2.2544078826904297,66.31791687011719,0.8201507925987244,1.1319530010223389,0.7947201132774353,11.153897285461426,6.628300666809082,4.44761323928833,0.8064984083175659,1.2331385612487793,0.13813668489456177,97.04479217529297,0,0.5997838973999023,4.92608118057251,11.299163818359375,37,25,30,88.88888549804688,
2025-12-17 11:00:03.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:07.518000,6b,Toxicity,Original,,156.91336059570312,0.2160976529121399,33.90861129760742,0.4724791944026947,0.9190161824226379,0.19468455016613007,11.153897285461426,1.8692971467971802,0.7440677881240845,0.2180081605911255,0.16436845064163208,0.06060315668582916,4.783176898956299,31.70040512084961,0.0878136083483696,5.881923198699951,11.778837203979492,37,25,30,75,
2025-12-17 11:00:07.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:09.518000,6b,Toxicity,Original,,131.3611297607422,0.3772871196269989,49.56085968017578,0.36744755506515503,0.7370888590812683,0.47951462864875793,11.153897285461426,5.840383052825928,2.906092643737793,0.1230853945016861,0.3336707353591919,0.23923079669475555,22.13510513305664,0,0.19514347612857819,22.31670379638672,40.02111053466797,37,25,30,83.33333587646484,
2025-12-17 11:00:15.518000,6b,Toxicity,Original,,238.8356170654297,0.10306629538536072,24.615901947021484,1.3602447509765625,1.1505873203277588,0.2937993109226227,11.153897285461426,1.7047141790390015,1.89420747756958,0.10826408118009567,0.1429547220468521,0.12830576300621033,5.95988655090332,0,0.06771142780780792,10.059806823730469,23.135684967041016,37,25,30,87.5,
2025-12-17 11:00:15.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:15.518000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:19.518000,6b,Toxicity,Original,,298.44354248046875,0.1073530837893486,32.03883361816406,0.4881002902984619,0.6079585552215576,0.5048954486846924,11.153897285461426,1.7363760471343994,1.3433464765548706,0.10993507504463196,0.09110797196626663,0.12038272619247437,8.219834327697754,0,0.058381155133247375,16.50127601623535,15.868011474609375,37,25,30,83.33333587646484,
2025-12-17 11:00:19.518000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17 11:00:27.518000,6b,Toxicity,Original,,60.4785041809082,1.0465788841247559,63.295528411865234,0.16896399855613708,0.5893872976303101,0.6178797483444214,11.153897285461426,10.171506881713867,3.040928840637207,0.3285285234451294,0.6635594964027405,0.15947726368904114,106.47503662109375,0,0.43455642461776733,15.308625221252441,,37,25,30,85.71428680419922,
