Date,Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-30,09:54:49.936000,Measuring antidote.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,Create measurement 'antidote'. Duration: 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:54:49.936000,FinePointe Series WBP [SN 139781]  Site 2 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:12.461000,3d,Toxicity,Original,,349.2005920410156,0.5805982947349548,202.74526977539065,0.21048304438591,0.5003001093864441,0.6793323159217834,11.153897285461426,14.31667137145996,6.07976770401001,0.0628905221819877,0.1089304834604263,0.502984344959259,5.033303737640381,0.0,0.0731770694255828,22.406280517578125,,37.0,25.0,30.0,88.88888549804688,
2025-12-30,09:55:12.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:16.461000,3d,Toxicity,Original,,301.70318603515625,0.1457123756408691,43.961891174316406,0.7113505601882935,0.6015722751617432,0.6101091504096985,11.153897285461426,2.6623647212982178,3.1663174629211426,0.0972497835755348,0.1016211584210395,0.2806564271450043,11.655412673950195,0.0,0.0653029307723045,20.971847534179688,20.075523376464844,37.0,25.0,30.0,88.88888549804688,
2025-12-30,09:55:18.461000,3d,Toxicity,Original,,352.2486267089844,0.2066583931446075,72.7951431274414,0.2959867715835571,0.4724483788013458,0.2420195341110229,11.153897285461426,4.397154808044434,2.6694531440734863,0.0794324800372123,0.0909017547965049,0.0755375996232032,2.840307235717773,58.76450347900391,0.0622279122471809,2.257050037384033,3.20965838432312,37.0,25.0,30.0,66.66666412353516,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,Measuring T30.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,Create measurement 'T30'. Duration: 00:29:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:18.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:55:56.461000,3d,Toxicity,Original,,24.91290855407715,3.513991355895996,87.54374694824219,1.3051228523254397,1.6629021167755127,0.9632449746131896,11.153897285461426,9.634511947631836,6.07355546951294,0.6725907325744629,1.7357993125915527,0.282456487417221,30.041654586791992,0.0,0.6675022840499878,0.6212979555130005,21.30585479736328,37.0,25.0,30.0,98.30508422851562,
2025-12-30,09:55:58.461000,3d,Toxicity,Original,,32.88648223876953,3.972672700881958,130.64723205566406,0.8754084706306458,1.5026969909667969,0.4315490424633026,11.153897285461426,10.099655151367188,4.80216121673584,0.6751099824905396,1.149347901344299,0.4305039942264557,135.73245239257812,0.0,0.4701069891452789,7.2801194190979,17.50029754638672,37.0,25.0,30.0,50.0,
2025-12-30,09:55:58.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:02.461000,3d,Toxicity,Original,,19.876121520996094,3.5135693550109863,69.83613586425781,3.182456970214844,4.649610996246338,0.1506764590740203,11.153897285461426,10.214715957641602,3.696677207946777,0.6427456140518188,2.375951766967773,0.1357463598251342,92.37447357177734,670.4459228515625,0.4256427586078644,2.820711612701416,34.376548767089844,37.0,25.0,30.0,75.0,
2025-12-30,09:56:02.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:04.461000,3d,Toxicity,Original,,29.28282165527344,3.403709888458252,99.67022705078124,1.583022117614746,1.836374044418335,0.8542309403419495,11.153897285461426,9.89417552947998,5.252426624298096,0.7238143682479858,1.325168490409851,0.2086513638496399,22.469804763793945,0.0,0.5092896819114685,3.830244779586792,24.562000274658203,37.0,25.0,30.0,66.66666412353516,
2025-12-30,09:56:08.461000,3d,Toxicity,Original,,20.958908081054688,3.443866491317749,72.17967987060547,3.102644443511963,5.574926376342773,0.1585077047348022,11.153897285461426,11.628334999084473,3.840115785598755,0.705120861530304,2.157623767852783,0.1265809684991836,47.053131103515625,880.8673706054688,0.3459065854549408,5.160507678985596,31.293664932250977,37.0,25.0,30.0,50.0,
2025-12-30,09:56:08.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:12.461000,3d,Toxicity,Original,,144.8450469970703,0.4725721180438995,68.4497299194336,0.4656341969966888,0.613211452960968,0.5405499935150146,11.153897285461426,3.3396949768066406,2.5949900150299072,0.2292390167713165,0.1849967539310455,0.2229794710874557,7.063716411590576,0.0,0.1169785261154174,10.552947998046877,16.631393432617188,37.0,25.0,30.0,75.0,
2025-12-30,09:56:12.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:16.461000,3d,Toxicity,Original,,92.1103973388672,1.951620817184448,53.2036361694336,2.566018581390381,2.986482620239258,0.3229308724403381,11.153897285461426,6.54958438873291,3.455289602279663,0.4067843854427337,1.355940580368042,0.1712198257446289,13.507474899291992,529.1669921875,0.2722985744476318,8.9579496383667,32.66251373291016,37.0,25.0,30.0,0.0,
2025-12-30,09:56:20.461000,3d,Toxicity,Original,,19.94615173339844,3.603024482727051,71.8664779663086,2.9876973628997803,4.614614486694336,0.2116081565618515,11.153897285461426,11.547515869140623,4.666792869567871,0.5979839563369751,2.4101150035858154,0.253763347864151,135.18280029296875,354.8544921875,0.4383054375648498,4.24294900894165,48.81615447998047,37.0,25.0,30.0,0.0,
2025-12-30,09:56:20.461000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:20.461000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:56:24.461000,3d,Toxicity,Original,,186.87692260742188,0.193098172545433,36.085594177246094,0.4498937726020813,0.6388810873031616,0.787240743637085,11.153897285461426,3.0321531295776367,2.249719381332397,0.1330685317516327,0.1879983991384506,0.1857781708240509,11.25999641418457,0.0,0.1190119311213493,17.145736694335938,20.58565139770508,37.0,25.0,30.0,50.0,
