Date,Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-30,09:57:53.142000,Measuring antidote.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:57:53.142000,Create measurement 'antidote'. Duration: 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:57:53.142000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:57:53.142000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:57:53.142000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:10.923000,5d,Toxicity,Original,,320.27911376953125,0.1227136775851249,39.30262756347656,0.5570610165596008,0.7224294543266296,0.4884663224220276,11.153897285461426,2.8555305004119877,2.1759467124938965,0.0808809548616409,0.1064556464552879,0.1892628669738769,5.644101619720459,0.0,0.0628544464707374,15.950706481933594,12.319886207580566,37.0,25.0,30.0,90.0,
2025-12-30,09:58:10.923000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:14.924000,5d,Toxicity,Original,,316.9706115722656,0.1276803910732269,40.31929016113281,0.8005818724632263,0.7893239855766296,0.3487443327903747,11.153897285461426,1.891345739364624,1.7762457132339478,0.1026143431663513,0.0887254178524017,0.1437880992889404,3.807385921478272,0.0,0.0502684004604816,12.348331451416016,13.396059036254885,37.0,25.0,30.0,50.0,
2025-12-30,09:58:14.924000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:20.924000,5d,Toxicity,Original,,371.9817504882813,0.1394219398498535,51.48637008666992,0.4496380686759949,0.5516007542610168,0.7285887598991394,11.153897285461426,2.724076747894287,2.215670585632324,0.0832694768905639,0.0796706527471542,0.1535661220550537,6.133586883544922,0.0,0.052376888692379,12.748589515686035,12.010936737060549,37.0,25.0,30.0,88.88888549804688,
2025-12-30,09:58:20.924000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:20.924000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:24.924000,5d,Toxicity,Original,,162.97320556640625,0.4275555312633514,69.68009185791016,1.6749186515808103,2.947854995727539,0.0486266613006591,11.153897285461426,9.601537704467772,5.027667045593262,0.1213804855942726,0.246778205037117,0.2101823538541793,52.45795822143555,225.51873779296875,0.0626605525612831,12.693777084350586,30.07222557067871,37.0,25.0,30.0,91.66666412353516,
2025-12-30,09:58:26.923000,5d,Toxicity,Original,,222.18814086914065,0.6118225455284119,135.93971252441406,0.792003333568573,1.081448316574097,0.4990202486515045,11.153897285461426,12.845229148864746,9.829254150390623,0.1457979679107666,0.1242434531450271,0.8135177493095398,89.19007873535156,42.48563003540039,0.0605963468551635,41.431549072265625,21.157516479492188,37.0,25.0,30.0,88.88888549804688,
2025-12-30,09:58:30.924000,5d,Toxicity,Original,,342.5007019042969,0.3966526091098785,135.85379028320312,0.8368644714355469,1.076319456100464,0.4969747066497803,11.153897285461426,7.510163307189941,5.584658145904541,0.0946951359510421,0.0804869905114173,0.3208750188350677,3.3107175827026367,28.60346031188965,0.0391578674316406,3.3117270469665527,36.71891403198242,37.0,25.0,30.0,93.75,
2025-12-30,09:58:30.924000,FinePointe Series WBP [SN 10499C]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,09:58:32.923000,5d,Toxicity,Original,,189.4897003173828,37.61585235595703,7127.021484375,0.0636069327592849,0.5131281614303589,0.9561620950698853,11.153897285461426,1252.0677490234375,160.48265075683594,0.0763712078332901,0.2402705252170562,9.67286491394043,16.03618621826172,0.0,0.1605429351329803,9.790844917297363,,37.0,25.0,30.0,81.81818389892578,
2025-12-30,09:58:36.924000,5d,Toxicity,Original,,613.7786865234375,5.239133834838867,3215.668701171875,0.6564386487007141,0.6512789130210876,0.7136937379837036,11.153897285461426,122.98934936523438,125.3752899169922,0.0613249130547046,0.0364301912486553,9.444778442382812,1.494904637336731,0.0,0.0221730042248964,8.064997673034668,13.01452922821045,37.0,25.0,30.0,75.0,
