Date,Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-17,12:06:02.339000,Measuring antidote.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,Create measurement 'antidote'. Duration: 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,FinePointe Series WBP [SN 139781]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,FinePointe Series WBP [SN 139781]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,FinePointe Series WBP [SN 139781]  Site 1 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,Measuring T30.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:06:02.339000,Create measurement 'T30'. Duration: 00:29:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-17,12:07:04.638000,2c,Toxicity,Original,,144.46090698242188,0.5250552296638489,75.8499526977539,0.3913437724113464,0.5736840963363647,0.7441011667251587,11.153897285461426,4.310670852661133,3.347740650177002,0.221815213561058,0.1935220658779144,0.2359764277935028,7.1603169441223145,0.0,0.1260525733232498,9.104256629943848,11.251710891723633,37.0,25.0,30.0,96.42857360839844,
2025-12-17,12:07:10.638000,2c,Toxicity,Original,,177.08624267578125,1.032533049583435,94.4534912109375,0.8246495723724365,1.156290054321289,0.3857659697532654,11.153897285461426,7.689450740814209,4.566652297973633,0.2243930548429489,0.274731308221817,0.3953334391117096,7.981780529022217,5.76040506362915,0.1262294501066208,9.296168327331545,21.9412841796875,37.0,25.0,30.0,62.5,
