Date,Time,Subject,Phase,Recording,Alarms,f,TVb,MVb,Penh,PAU,Rpef,Comp,PIFb,PEFb,Ti,Te,EF50,EIP,EEP,Tr,TB,TP,Tbody,Tc,RH,Rinx,BFCF
2025-12-30,11:07:43.756000,Measuring antidote.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,Create measurement 'antidote'. Duration: 00:01:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,Site Acknowledgement Changed: False,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:07:43.756000,FinePointe Series WBP [SN 139781]  Site 3 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:14.807000,3e,Toxicity,Original,,264.3771667480469,0.1437453031539917,38.00297927856445,2.4768106937408447,2.363870143890381,0.3555565774440765,11.153897285461426,3.5451462268829346,3.5558431148529053,0.0806989073753357,0.1462495774030685,0.28605717420578,6.492548942565918,67.90492248535156,0.0441853068768978,16.481035232543945,,37.0,25.0,30.0,80.0,
2025-12-30,11:08:14.807000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:14.807000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:14.807000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:14.807000,Measuring T30.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:14.807000,Create measurement 'T30'. Duration: 00:29:00,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:46.807000,3e,Toxicity,Original,,65.54527282714844,2.028096437454224,132.93212890625,1.6525824069976809,1.342215657234192,0.4050012826919555,11.153897285461426,10.842723846435549,9.463052749633787,0.3672514259815216,0.5481463670730591,0.5618045926094055,12.430852890014648,0.0,0.2413259893655777,5.761838436126709,41.15109252929688,37.0,25.0,30.0,94.7368392944336,
2025-12-30,11:08:46.807000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:08:58.807000,3e,Toxicity,Original,,26.83721160888672,3.4601738452911377,92.86141204833984,4.667346000671387,6.53697681427002,0.1295666545629501,11.153897285461426,13.058181762695312,5.77443790435791,0.5068619251251221,1.728839874267578,0.1536240130662918,23.324613571166992,901.2335815429688,0.2342516481876373,4.251837730407715,57.684844970703125,37.0,25.0,30.0,87.5,
2025-12-30,11:08:58.807000,FinePointe Series WBP [SN 139781]  Site 4 Bias Flow is out of range.,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-30,11:09:00.807000,3e,Toxicity,Original,,45.51009750366211,3.6392431259155273,165.62229919433594,1.068179726600647,1.3337578773498535,0.2299840450286865,11.153897285461426,12.292684555053713,6.740403652191162,0.5965995788574219,0.7217892408370972,0.3760794103145599,60.09989929199219,0.0,0.3226878345012665,6.232078075408936,29.13329124450684,37.0,25.0,30.0,50.0,
2025-12-30,11:09:02.807000,3e,Toxicity,Original,,87.34446716308594,1.797386646270752,71.90940856933594,1.9561104774475095,1.8409607410430908,0.2261128723621368,11.153897285461426,6.792142868041992,4.265902042388916,0.435132086277008,0.5941286087036133,0.2048473954200744,10.371026992797852,63.6937370300293,0.2180499136447906,7.132025718688965,29.95246315002441,37.0,25.0,30.0,50.0,
2025-12-30,11:09:06.807000,3e,Toxicity,Original,,151.41749572753906,1.1966354846954346,63.35341644287109,1.4599049091339111,1.52776300907135,0.3626493811607361,11.153897285461426,5.949512004852295,3.913609266281128,0.2861432135105133,0.4686488509178161,0.2746714651584625,48.528587341308594,13.76601791381836,0.163408949971199,19.52964973449707,19.18850898742676,37.0,25.0,30.0,57.14285659790039,
